NUM_ATIVIDADE|NUM_SEQ_RECURSO|NUM_PLACA|NUM_PREFIXO
2018-005160680-001 |1 |PXJ4996 |23535
2018-005931557-001 |1 |HNH0236 |01051
2018-009975976-001 |1 |PXD8187 |23346
2018-014233474-001 |1 |PXD8138 |23306
2018-035331800-001 |1 |PUE7181 |22788
2018-041124495-001 |1 |PUE9012 |25330
2018-052507473-001 |1 |QPG3128 |27147
2018-054811447-001 |1 |QMV0321 |10321
2019-001797110-002 |1 |QMV0321 |10321
2019-002521200-001 |1 |PYW3344 |24993
2019-004428097-001 |1 |PYW3344 |24993
2019-004784520-001 |1 |PYW3344 |24993
2019-005194552-001 |1 |ORC8344 |22154
2019-006342753-001 |1 |PUE9004 |25493
2019-006583085-001 |1 |PUE9004 |25493
2019-006842586-001 |1 |QPG3128 |27147
2019-011695517-001 |1 |QPF9755 |27371
2019-020629561-001 |1 |HNH0240 |01055
2019-022622404-001 |1 |QPU1321 |27834
2019-024048151-001 |1 |OPQ8511 |20139
2019-024870899-001 |1 |QOY8358 |26578
2019-024870949-001 |1 |QOY8358 |26578
2019-025136408-001 |1 |OQM9278 |21472
2019-025280956-001 |1 |QPM7895 |27639
2019-027820079-001 |1 |PUE8982 |25240
2019-027820248-001 |1 |PUE8982 |25240
2019-028812461-001 |1 |PUE9004 |25493
2019-036281683-001 |1 |QPG0227 |27107
2019-036619410-001 |1 |QOY8372 |26582
2019-037392934-001 |1 |HMH2352 |00813
2019-037604987-001 |1 |HNH0240 |01055
2019-043984935-001 |1 | |
2019-047266139-001 |1 |HNH0240 |01055
2019-049757673-001 |1 |QPJ1135 |27591
2019-049757777-001 |1 |QPJ1135 |27591
2019-049765808-001 |1 |QPX9551 |28645
2019-049916717-001 |1 |QPB0885 |26869
2019-049916717-001 |2 |QPB0689 |26794
2019-050369907-001 |1 |QPO0420 |27677
2019-052219438-001 |1 |QPO0394 |27675
2019-052506873-001 |1 |PUE8982 |25240
2019-052507198-001 |1 |PUE8982 |25240
2019-052973059-001 |1 |PUE8982 |25240
2019-052973109-001 |1 |PUE8982 |25240
2019-053465110-001 |1 |ORC9766 |00275
2019-053778435-001 |1 |PUE9003 |25494
2019-053778567-001 |1 |PUE9003 |25494
2019-053930966-001 |1 |PUE8982 |25240
2019-053931001-001 |1 |PUE8982 |25240
2019-054017562-001 |1 |OPQ9789 |20660
2019-054018632-001 |1 |QPO0447 |27699
2019-054036829-001 |1 |QPO0447 |27699
2019-054050471-001 |1 |QPO0447 |27699
2019-054056650-001 |1 |QPO0447 |27699
2019-054488783-001 |1 |HNH0240 |01055
2019-057071585-001 |1 |PUE8087 |23171
2019-059182874-001 |1 |QPX9721 |28711
2019-059206089-001 |1 |QPX9721 |28711
2019-059220145-001 |1 |QPX9721 |28711
2019-059740016-001 |1 |QPM8031 |27655
2019-059751646-001 |1 |QPM8031 |27655
2019-060208626-001 |1 |QPG3097 |27414
2019-060459044-001 |1 |QPX9706 |28689
